model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
rnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.788468669
rnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.785317019
rnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.757044865
rnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.77206155
rnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.803856136
rnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.808212829
rnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.791620319
rnn,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.661197627
rnn,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.656284761
rnn,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
rnn,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,128,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
rnn,30,128,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,256,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
rnn,30,256,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,256,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
rnn,30,256,3,6,15,128,max,adam,1.00E-05,2,4622,0.666295884
rnn,30,512,3,6,15,64,avg,adam,1.00E-05,2,4622,0.705784205
rnn,30,512,3,6,15,64,max,adam,1.00E-05,2,4622,0.667871709
rnn,30,512,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
rnn,30,512,3,6,15,128,max,adam,1.00E-05,2,4622,0.666110493
rcnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.820355951
rcnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.835279941
rcnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.824527253
rcnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.829162032
rcnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.792361884
rcnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.830552466
rcnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.818316648
rcnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.844549499
rcnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.774008157
rcnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.831664813
rcnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.801724138
rcnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.832313682
rcnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.788746756
rcnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.842788283
rcnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.756025213
rcnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.833147942
rcnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.69011865
rcnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.771690768
rcnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.666295884
rcnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.674916574
rcnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.812569522
rcnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.825176122
rcnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.739896181
rcnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.791527623
rcnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.82183908
rcnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.852335929
rcnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.813959956
rcnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.840563589
rcnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.832128291
rcnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.847979236
rcnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.826288469
rcnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.851872451
rcnn,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
rcnn,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.666944753
rcnn,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.666295884
rcnn,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.497868001
rcnn,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.666295884
rcnn,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.666295884
