model_type,epoch,opt,lr,hidden_size,batch_size,pooling_style,time_value,acc,call_back,loss,precision
bert_lstm,15,sgd,0.1,128,128,last,375,0.8890279516061744,0.8156565656565656,0.10122180983424187,0.8433420365535248
bert_lstm,15,sgd,0.1,512,128,avg,376,0.8819357530246141,0.8926767676767676,0.3794543470939,0.7812154696132597
bert_lstm,15,sgd,0.1,512,128,max,376,0.6695869837296621,0.0,0.63834042151769,0.0
bert_lstm,15,sgd,0.1,512,128,last,375,0.6695869837296621,0.0,0.6382669814427694,0.0
bert_lstm,15,sgd,0.001,128,128,avg,375,0.8936170212765957,0.7840909090909091,0.29566362758477527,0.8808510638297873
bert_lstm,15,sgd,0.001,128,128,max,376,0.8923654568210263,0.827020202020202,0.3031341588497162,0.8440721649484536
bert_lstm,15,sgd,0.001,128,128,last,374,0.8931998331247393,0.797979797979798,0.299916366537412,0.8681318681318682
bert_lstm,15,sgd,0.001,512,128,avg,375,0.8915310805173133,0.8345959595959596,0.2946808667977651,0.8367088607594937
bert_lstm,15,sgd,0.001,512,128,max,375,0.8944513975803087,0.7777777777777778,0.2989982324838638,0.8888888888888888
bert_lstm,15,sgd,0.001,512,128,last,374,0.8919482686691698,0.8181818181818182,0.30351408183574674,0.8492791612057667
fast_text,5,adam,0.1,128,128,avg,3,0.8619107217355028,0.8282828282828283,0.3222318232059479,0.7708578143360753
fast_text,5,adam,0.1,128,128,max,3,0.8485607008760951,0.6590909090909091,0.363754455447197,0.848780487804878
fast_text,5,adam,0.1,128,128,last,3,0.6124322069253233,0.09722222222222222,0.9136668499310812,0.2646048109965636
fast_text,5,adam,0.1,512,128,avg,3,0.8456403838130997,0.6565656565656566,0.5497227684656779,0.8414239482200647
fast_text,5,adam,0.1,512,128,max,3,0.7947434292866082,0.8472222222222222,0.5745242576797803,0.6439539347408829
fast_text,5,adam,0.1,512,128,last,3,0.6253650396328744,0.06691919191919192,2.4886396312713623,0.25
fast_text,5,adam,0.001,128,128,avg,2,0.8723404255319149,0.7474747474747475,0.349201180934906,0.8481375358166189
fast_text,5,adam,0.001,128,128,max,3,0.8231122236128494,0.5782828282828283,0.40280025800069175,0.8357664233576643
fast_text,5,adam,0.001,128,128,last,3,0.6533166458072591,0.03156565656565657,0.6005404202143351,0.2808988764044944
fast_text,5,adam,0.001,512,128,avg,3,0.8898623279098874,0.7853535353535354,0.30143520116806033,0.8687150837988827
